name,provider,verification_url,pdf_path_relative_to_root,pdf_path_relative_to_course_certificates,skills,what_was_learnt
Create a Storyboard using Canva,Coursera,https://coursera.org/verify/KSCFBDB1LYNY,course-certificates/create-a-storyboard-using-canva.pdf,create-a-storyboard-using-canva.pdf,Canva (Software); Graphic Design; Storytelling; Animations; Graphical Tools; Business; Visual Storytelling; Marketing; Design and Product; Storyboarding,Develop a storyboard template for use across projects. | Utilize graphic design tools to create a storyboard header. | Use narrative writing skills to add a script to the storyboard template.
Create Customer Personas in Canva,Coursera,https://coursera.org/verify/BGD6FTMC8JWE,course-certificates/create-customer-personas-in-canva.pdf,create-customer-personas-in-canva.pdf,Persona Development; Marketing Strategies; Product Knowledge; Marketing Planning; Customer Insights; Social Media; Target Audience; Research; Customer Relationship Management; Consumer Behaviour; Customer Analysis; Target Market,"Identify priorities for the customer and list goals and motivations for purchasing behaviors | Determine customer persona pain points and create ""bite size"" picture of the customer persona"
Work with Components in Figma,Coursera,https://coursera.org/verify/7OX2CKY66HA1,course-certificates/work-with-components-in-figma.pdf,work-with-components-in-figma.pdf,Design Elements And Principles; Figma (Design Software); Application Design; Web Components; Style Guides; Software Design; Web Design; Software Engineering; Application Development; UI Components,Create a master component and learn about instances in Figma. | Create a variant of a component in Figma. | Create a multiple variant option of a component in Figma.
Create and Design Digital Products using Canva,Coursera,https://coursera.org/verify/W096W8JWL5GM,course-certificates/create-and-design-digital-products-using-canva.pdf,create-and-design-digital-products-using-canva.pdf,Product Design; Digital Assets; Digital Publishing; E-Commerce; Graphic Design; Layout Design; Canva (Software); Digital Marketing Tools; Design Elements And Principles; Product Promotion; Intellectual Property; Color Matching,Create a workbook for digital courses. | Create a simple e book cover using design principles. | Apply design principles to create digital journal pages.
IoT Security: Interface and Data Security,CertNexus,https://coursera.org/verify/FR5LZOR62S2X,course-certificates/iot-security-interface-and-data-security.pdf,iot-security-interface-and-data-security.pdf,Mobile Security; Threat Modeling; Risk Management Framework; Cloud Security; Internet Of Things; Cybersecurity; Threat Management; Security Engineering; Application Security; Web Applications; Secure Coding; Cryptography,"Map the IoT attack surface to identify ecosystem threats, shadow IT risks, and security-by-design opportunities. | Neutralize web and cloud interface flaws like SQL injection, session replay, cross-site scripting, and request forgery. | Protect data in motion, at rest, and in use employing robust cryptography, secure transport protocols, and buffer overflow defenses. | Learn by doing. Perform guided, step-by-step hands-on activities on your own computer."
"Foundations: Data, Data, Everywhere",Google,https://coursera.org/verify/KQ8Y2Y0DO87M,course-certificates/foundations-data-data-everywhere.pdf,foundations-data-data-everywhere.pdf,Data Analysis; Data Visualization Software; Analytical Skills; Data Processing; Spreadsheet Software; Analytics; Data-Driven Decision-Making; Data Ethics; Data Visualization; Data Sharing; SQL; Data Cleansing,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems. | Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking. | Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics. | Describe the role of a data analyst with specific reference to jobs."
Ask Questions to Make Data-Driven Decisions,Google,https://coursera.org/verify/3GWGGB7K85B3,course-certificates/ask-questions-to-make-data-driven-decisions.pdf,ask-questions-to-make-data-driven-decisions.pdf,Analysis; Stakeholder Management; Data-Driven Decision-Making; Dashboard; Stakeholder Communications; Analytical Skills; Expectation Management; Data Analysis; Problem Solving; Quantitative Research; Communication Strategies; Spreadsheet Software,Explain how the problem-solving road map applies to typical analysis scenarios. | Discuss the use of data in the decision-making process. | Demonstrate the use of spreadsheets to complete basic tasks of the data analyst including entering and organizing data. | Describe the key ideas associated with structured thinking.
Prepare Data for Exploration,Google,https://coursera.org/verify/J68J2F26EDIO,course-certificates/prepare-data-for-exploration.pdf,prepare-data-for-exploration.pdf,Data Quality; Data Storage; Databases; Data Collection; Unstructured Data; Data Manipulation; Metadata Management; Data Literacy; Data Access; Google Sheets; Data Security; File Management,Explain what factors to consider when making decisions about data collection. | Discuss the difference between biased and unbiased data. | Describe databases with references to their functions and components. | Describe best practices for organizing data.
Introduction to Data Analysis Using Python,Google,https://coursera.org/verify/7TCL1BQLXLGY,course-certificates/introduction-to-data-analysis-using-python.pdf,introduction-to-data-analysis-using-python.pdf,Python Programming; NumPy; Data Processing; Scripting; Data Analysis; Analytical Skills; Data Manipulation; Data Cleansing; Programming Principles; Computer Programming; Analytics; Data Structures,"Explain how Python is used by data professionals | Explore basic Python building blocks, including syntax and semantics | Understand loops, control statements, and string manipulation | Use data structures to store and organize data"
Analyze Data to Answer Questions,Google,https://coursera.org/verify/DIQE8MWRQOKM,course-certificates/analyze-data-to-answer-questions.pdf,analyze-data-to-answer-questions.pdf,Data Analysis; Data Processing; Data Compilation; Data Quality; Consolidation; Query Languages; Data Integration; SQL; Analytical Skills; Pivot Tables And Charts; Data Transformation; Data Manipulation,Discuss the importance of organizing your data before analysis by using sorts and filters. | Convert and format data. | Apply the use of functions and syntax to create SQL queries to combine data from multiple database tables. | Describe the use of functions to conduct basic calculations on data in spreadsheets.
